Item,Price
Monster Boba Latte w/ Golden Boba,$4.95
Mini Macarons,$10.00
Strawberry Slush,$4.25
Passionfruit Slush,$4.25
Thai Tea Latte w/ Golden Boba,$4.50
Hokkaido Oolong Milk Tea w/ Golden Boba,$4.50
Matcha Milk Tea w/ Golden Boba,$4.50
Brown Sugar Milk Tea,$4.50
Taro Milk Tea w/ Golden Boba,$4.50
Jasmine Green Milk Tea w/ Golden Boba,$4.50
