Item,Price
Tandoori Jumbo Shrimp,15.95
Assorted Appetizers,6.95
Muligataawany Soup,3.95
Chicken Tikka,12.95
Lamb Seekh Kabab,15.95
Murgh Makhni,12.95
Chicken Vandaloo,12.95
Fish Masala,14.95
Goat Curry,12.95
Aloo Gobi,10.95
Garlic Nan,1.95
Mango KULFI,2.95
