Item,Price
Chicken Cilantro Soup,5.99
Creamy Tomato Soup,5.99
Large Pizza,19.99
Simply Vegan Burrito,10.99
Mexican Style Vegetarian Burrito,10.99
Kale Salad,10.99
Acai Blend,7.99
Tropical Smoothie,6.99
Chicken Wrap,11.99
Quinoa Kale Veggie Wrap,9.99
