Item,Price
Ninja Cali Burrito,9.99
Ninja Fries,8.49
Udon Noodles,5.99
Three Ninja Chicken Tacos,5.99
BBQ Short Ribs Salad Plate,12.99
Chicken Bowl,5.99
Combo Veggies Plate,9.49
Furious Chicken Bowl,9.49
Furious Ninja Dog,8.99
Large Drink,2.49
