Item,Price
Chicken Shawarma Plate,$12.99
Combination Plate,$14.99
Homemade Baklava,$3.00
Hummus,$5.25
Chicken Shawarma Sandwich,$7.49
Baba Gannoush,$5.25
Falafel,$3.25
Shawarma Fries,$11.99
Chicken Kabab Plate,$12.99
Shish Kabab Plate,$13.99
Gyro Sandwich,$7.49
Tabouleh Salad,$5.95
