Item,Price
Mapo Tofu,$12.00
Fish Fillet in Hot Chili Oil,$15.00
Deep Fried Chicken with Chili,$13.00
Mao Xue Wang,$18.00
Hot & Spicy Crayfish,$18.00
Deep Fried Intestines with Chili,$15.00
Red Braised Pork,$15.00
Twice Cooked Pork,$15.00
Kung Pao Chicken,$13.00
Braised Belly with Tomato,$14.00
