Item,Price
French Toast Slam,$13.09
Milk Shakes,$6.09
All-American Slam,$14.09
Build Your Own Grand Slam,$11.89
Club Sandwich,$13.79
Chicken Fajita Bowl,$14.19
Ultimate Omelette,$14.09
Blueberry Pancake Breakfast,$10.19
Santa Fe Sizzlin' Skillet,$12.09
Zesty Nachos,$10.59
