Item,Price
Classic Cheese Burger,$10.75
Pizza Fries,$11.50
Carnivore Special,$15.50
Monster Burger,$16.75
Garlic Bread,$3.55
Onion Rings,$7.15
Potato Skins,$7.15
Vegetarian Salad,$9.25
Roast Beef Melt,$10.35
